batch=424251 checked=14127321841664 peak_steps=595 suspects=0 gpu=72% temp=77C elapsed=23.5
batch=424301 checked=14128160702464 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=23.8
batch=424351 checked=14128999563264 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=24.1
batch=424401 checked=14129838424064 peak_steps=595 suspects=0 gpu=67% temp=77C elapsed=24.4
batch=424451 checked=14130677284864 peak_steps=595 suspects=0 gpu=73% temp=77C elapsed=24.7
batch=424501 checked=14131516145664 peak_steps=595 suspects=0 gpu=64% temp=77C elapsed=25.0
batch=424551 checked=14132355006464 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=25.3
batch=424601 checked=14133193867264 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=25.6
batch=424651 checked=14134032728064 peak_steps=595 suspects=0 gpu=66% temp=77C elapsed=25.9
batch=424701 checked=14134871588864 peak_steps=595 suspects=0 gpu=75% temp=76C elapsed=26.3
batch=424751 checked=14135710449664 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=26.6
batch=424801 checked=14136549310464 peak_steps=595 suspects=0 gpu=70% temp=77C elapsed=26.9
batch=424851 checked=14137388171264 peak_steps=595 suspects=0 gpu=63% temp=77C elapsed=27.2
batch=424901 checked=14138227032064 peak_steps=595 suspects=0 gpu=74% temp=77C elapsed=27.5
batch=424951 checked=14139065892864 peak_steps=595 suspects=0 gpu=73% temp=77C elapsed=27.8
batch=425001 checked=14139904753664 peak_steps=595 suspects=0 gpu=74% temp=77C elapsed=28.1
batch=425051 checked=14140743614464 peak_steps=595 suspects=0 gpu=72% temp=77C elapsed=28.4
batch=425101 checked=14141582475264 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=28.7
batch=425151 checked=14142421336064 peak_steps=595 suspects=0 gpu=74% temp=77C elapsed=29.0
batch=425201 checked=14143260196864 peak_steps=595 suspects=0 gpu=58% temp=77C elapsed=29.3
batch=425251 checked=14144099057664 peak_steps=595 suspects=0 gpu=73% temp=77C elapsed=29.6
batch=425301 checked=14144937918464 peak_steps=595 suspects=0 gpu=74% temp=78C elapsed=29.9
batch=425351 checked=14145776779264 peak_steps=595 suspects=0 gpu=68% temp=78C elapsed=30.2
batch=425351 checked=14145793556480 peak_steps=307 suspects=0 gpu=21% temp=57C elapsed=0.0
batch=425401 checked=14146632417280 peak_steps=469 suspects=0 gpu=74% temp=57C elapsed=0.3
batch=425451 checked=14147471278080 peak_steps=487 suspects=0 gpu=72% temp=61C elapsed=0.6
batch=425501 checked=14148310138880 peak_steps=487 suspects=0 gpu=75% temp=61C elapsed=0.9
batch=425551 checked=14149148999680 peak_steps=487 suspects=0 gpu=73% temp=62C elapsed=1.2
batch=425601 checked=14149987860480 peak_steps=487 suspects=0 gpu=70% temp=62C elapsed=1.5
batch=425651 checked=14150826721280 peak_steps=505 suspects=0 gpu=72% temp=62C elapsed=1.8
batch=425701 checked=14151665582080 peak_steps=505 suspects=0 gpu=75% temp=63C elapsed=2.1
batch=425751 checked=14152504442880 peak_steps=505 suspects=0 gpu=68% temp=63C elapsed=2.4
batch=425801 checked=14153343303680 peak_steps=505 suspects=0 gpu=73% temp=63C elapsed=2.7
batch=425851 checked=14154182164480 peak_steps=505 suspects=0 gpu=72% temp=63C elapsed=3.0
batch=425901 checked=14155021025280 peak_steps=505 suspects=0 gpu=63% temp=63C elapsed=3.3
batch=425951 checked=14155859886080 peak_steps=523 suspects=0 gpu=73% temp=63C elapsed=3.7
batch=426001 checked=14156698746880 peak_steps=523 suspects=0 gpu=73% temp=64C elapsed=4.0
batch=426051 checked=14157537607680 peak_steps=523 suspects=0 gpu=72% temp=64C elapsed=4.3
batch=426101 checked=14158376468480 peak_steps=523 suspects=0 gpu=70% temp=64C elapsed=4.6
batch=426151 checked=14159215329280 peak_steps=523 suspects=0 gpu=70% temp=64C elapsed=4.9
batch=426201 checked=14160054190080 peak_steps=523 suspects=0 gpu=75% temp=64C elapsed=5.2
batch=426251 checked=14160893050880 peak_steps=523 suspects=0 gpu=70% temp=64C elapsed=5.5
batch=426301 checked=14161731911680 peak_steps=595 suspects=0 gpu=72% temp=64C elapsed=5.8
batch=426351 checked=14162570772480 peak_steps=595 suspects=0 gpu=69% temp=64C elapsed=6.1
batch=426401 checked=14163409633280 peak_steps=595 suspects=0 gpu=73% temp=64C elapsed=6.4
batch=426451 checked=14164248494080 peak_steps=595 suspects=0 gpu=72% temp=65C elapsed=6.7
batch=426501 checked=14165087354880 peak_steps=595 suspects=0 gpu=74% temp=65C elapsed=7.0
batch=426551 checked=14165926215680 peak_steps=595 suspects=0 gpu=68% temp=65C elapsed=7.3
batch=426601 checked=14166765076480 peak_steps=595 suspects=0 gpu=71% temp=65C elapsed=7.6
batch=426651 checked=14167603937280 peak_steps=595 suspects=0 gpu=73% temp=65C elapsed=7.9
batch=426701 checked=14168442798080 peak_steps=595 suspects=0 gpu=72% temp=65C elapsed=8.2
batch=426751 checked=14169281658880 peak_steps=595 suspects=0 gpu=67% temp=65C elapsed=8.5
batch=426801 checked=14170120519680 peak_steps=595 suspects=0 gpu=67% temp=65C elapsed=8.8
batch=426851 checked=14170959380480 peak_steps=595 suspects=0 gpu=71% temp=65C elapsed=9.1
batch=426901 checked=14171798241280 peak_steps=595 suspects=0 gpu=73% temp=65C elapsed=9.4
batch=426951 checked=14172637102080 peak_steps=595 suspects=0 gpu=74% temp=65C elapsed=9.8
batch=427001 checked=14173475962880 peak_steps=595 suspects=0 gpu=71% temp=65C elapsed=10.0
batch=427051 checked=14174314823680 peak_steps=595 suspects=0 gpu=68% temp=66C elapsed=10.4
batch=427101 checked=14175153684480 peak_steps=595 suspects=0 gpu=74% temp=66C elapsed=10.7
batch=427151 checked=14175992545280 peak_steps=595 suspects=0 gpu=73% temp=66C elapsed=10.9
batch=427201 checked=14176831406080 peak_steps=595 suspects=0 gpu=69% temp=66C elapsed=11.3
batch=427251 checked=14177670266880 peak_steps=595 suspects=0 gpu=72% temp=66C elapsed=11.6
batch=427301 checked=14178509127680 peak_steps=595 suspects=0 gpu=73% temp=66C elapsed=11.9
batch=427351 checked=14179347988480 peak_steps=595 suspects=0 gpu=75% temp=66C elapsed=12.2
batch=427401 checked=14180186849280 peak_steps=595 suspects=0 gpu=68% temp=66C elapsed=12.5
batch=427451 checked=14181025710080 peak_steps=595 suspects=0 gpu=74% temp=66C elapsed=12.8
batch=427501 checked=14181864570880 peak_steps=595 suspects=0 gpu=66% temp=66C elapsed=13.1
batch=427551 checked=14182703431680 peak_steps=595 suspects=0 gpu=69% temp=66C elapsed=13.4
batch=427601 checked=14183542292480 peak_steps=595 suspects=0 gpu=73% temp=66C elapsed=13.7
batch=427651 checked=14184381153280 peak_steps=595 suspects=0 gpu=77% temp=66C elapsed=14.0
batch=427701 checked=14185220014080 peak_steps=595 suspects=0 gpu=66% temp=67C elapsed=14.3
batch=427751 checked=14186058874880 peak_steps=595 suspects=0 gpu=72% temp=66C elapsed=14.6
batch=427801 checked=14186897735680 peak_steps=595 suspects=0 gpu=76% temp=66C elapsed=14.9
batch=427851 checked=14187736596480 peak_steps=595 suspects=0 gpu=72% temp=67C elapsed=15.2
batch=427901 checked=14188575457280 peak_steps=595 suspects=0 gpu=73% temp=67C elapsed=15.5
batch=427951 checked=14189414318080 peak_steps=595 suspects=0 gpu=70% temp=67C elapsed=15.8
batch=428001 checked=14190253178880 peak_steps=595 suspects=0 gpu=72% temp=67C elapsed=16.1
batch=428051 checked=14191092039680 peak_steps=595 suspects=0 gpu=75% temp=67C elapsed=16.4
batch=428101 checked=14191930900480 peak_steps=595 suspects=0 gpu=72% temp=67C elapsed=16.7
batch=428151 checked=14192769761280 peak_steps=595 suspects=0 gpu=68% temp=67C elapsed=17.0
batch=428201 checked=14193608622080 peak_steps=595 suspects=0 gpu=72% temp=67C elapsed=17.3
batch=428251 checked=14194447482880 peak_steps=595 suspects=0 gpu=71% temp=67C elapsed=17.6
batch=428301 checked=14195286343680 peak_steps=595 suspects=0 gpu=75% temp=67C elapsed=17.9
batch=428351 checked=14196125204480 peak_steps=595 suspects=0 gpu=75% temp=67C elapsed=18.2
batch=428401 checked=14196964065280 peak_steps=595 suspects=0 gpu=67% temp=68C elapsed=18.5
batch=428451 checked=14197802926080 peak_steps=595 suspects=0 gpu=69% temp=67C elapsed=18.8
batch=428501 checked=14198641786880 peak_steps=595 suspects=0 gpu=71% temp=67C elapsed=19.1
batch=428551 checked=14199480647680 peak_steps=595 suspects=0 gpu=65% temp=68C elapsed=19.5
batch=428601 checked=14200319508480 peak_steps=595 suspects=0 gpu=69% temp=68C elapsed=19.8
batch=428651 checked=14201158369280 peak_steps=595 suspects=0 gpu=70% temp=68C elapsed=20.1
batch=428701 checked=14201997230080 peak_steps=595 suspects=0 gpu=72% temp=68C elapsed=20.4
batch=428751 checked=14202836090880 peak_steps=595 suspects=0 gpu=75% temp=68C elapsed=20.7
batch=428801 checked=14203674951680 peak_steps=595 suspects=0 gpu=62% temp=68C elapsed=21.0
batch=428851 checked=14204513812480 peak_steps=595 suspects=0 gpu=70% temp=68C elapsed=21.3
batch=428901 checked=14205352673280 peak_steps=595 suspects=0 gpu=75% temp=68C elapsed=21.6
batch=428951 checked=14206191534080 peak_steps=595 suspects=0 gpu=70% temp=68C elapsed=21.9
batch=429001 checked=14207030394880 peak_steps=595 suspects=0 gpu=73% temp=68C elapsed=22.2
batch=429051 checked=14207869255680 peak_steps=595 suspects=0 gpu=69% temp=68C elapsed=22.5
batch=429101 checked=14208708116480 peak_steps=595 suspects=0 gpu=68% temp=68C elapsed=22.8
batch=429151 checked=14209546977280 peak_steps=595 suspects=0 gpu=74% temp=68C elapsed=23.1
batch=429201 checked=14210385838080 peak_steps=595 suspects=0 gpu=72% temp=68C elapsed=23.4
batch=429251 checked=14211224698880 peak_steps=595 suspects=0 gpu=66% temp=68C elapsed=23.8
batch=429301 checked=14212063559680 peak_steps=595 suspects=0 gpu=73% temp=69C elapsed=24.1
batch=429351 checked=14212902420480 peak_steps=595 suspects=0 gpu=64% temp=69C elapsed=24.4
batch=429401 checked=14213741281280 peak_steps=595 suspects=0 gpu=73% temp=68C elapsed=24.7
batch=429451 checked=14214580142080 peak_steps=595 suspects=0 gpu=64% temp=68C elapsed=25.0
batch=429501 checked=14215419002880 peak_steps=595 suspects=0 gpu=73% temp=68C elapsed=25.3
batch=429551 checked=14216257863680 peak_steps=595 suspects=0 gpu=72% temp=69C elapsed=25.6
batch=429601 checked=14217096724480 peak_steps=595 suspects=0 gpu=72% temp=69C elapsed=25.9
batch=429651 checked=14217935585280 peak_steps=595 suspects=0 gpu=68% temp=69C elapsed=26.3
batch=429701 checked=14218774446080 peak_steps=595 suspects=0 gpu=73% temp=69C elapsed=26.6
batch=429751 checked=14219613306880 peak_steps=595 suspects=0 gpu=69% temp=69C elapsed=26.9
batch=429801 checked=14220452167680 peak_steps=595 suspects=0 gpu=61% temp=69C elapsed=27.2
batch=429851 checked=14221291028480 peak_steps=595 suspects=0 gpu=73% temp=69C elapsed=27.5
batch=429901 checked=14222129889280 peak_steps=595 suspects=0 gpu=70% temp=69C elapsed=27.8
batch=429951 checked=14222968750080 peak_steps=595 suspects=0 gpu=74% temp=69C elapsed=28.1
batch=430001 checked=14223807610880 peak_steps=595 suspects=0 gpu=66% temp=69C elapsed=28.4
batch=430051 checked=14224646471680 peak_steps=595 suspects=0 gpu=73% temp=68C elapsed=28.7
batch=430101 checked=14225485332480 peak_steps=595 suspects=0 gpu=74% temp=68C elapsed=29.0
batch=430151 checked=14226324193280 peak_steps=595 suspects=0 gpu=72% temp=69C elapsed=29.3
batch=430201 checked=14227163054080 peak_steps=595 suspects=0 gpu=68% temp=69C elapsed=29.6
batch=430251 checked=14228001914880 peak_steps=595 suspects=0 gpu=72% temp=69C elapsed=29.9
batch=430301 checked=14228840775680 peak_steps=595 suspects=0 gpu=67% temp=69C elapsed=30.2
batch=430351 checked=14229679636480 peak_steps=595 suspects=0 gpu=71% temp=69C elapsed=30.5
batch=430401 checked=14230518497280 peak_steps=595 suspects=0 gpu=69% temp=69C elapsed=30.8
batch=430451 checked=14231357358080 peak_steps=595 suspects=0 gpu=71% temp=69C elapsed=31.1
batch=430501 checked=14232196218880 peak_steps=595 suspects=0 gpu=68% temp=70C elapsed=31.5
batch=430551 checked=14233035079680 peak_steps=595 suspects=0 gpu=69% temp=70C elapsed=31.8
batch=430601 checked=14233873940480 peak_steps=595 suspects=0 gpu=72% temp=69C elapsed=32.1
batch=430651 checked=14234712801280 peak_steps=595 suspects=0 gpu=71% temp=70C elapsed=32.4
batch=430701 checked=14235551662080 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=32.7
batch=430751 checked=14236390522880 peak_steps=595 suspects=0 gpu=69% temp=70C elapsed=33.0
batch=430801 checked=14237229383680 peak_steps=595 suspects=0 gpu=69% temp=70C elapsed=33.3
batch=430851 checked=14238068244480 peak_steps=595 suspects=0 gpu=65% temp=70C elapsed=33.6
batch=430901 checked=14238907105280 peak_steps=595 suspects=0 gpu=74% temp=70C elapsed=33.9
batch=430951 checked=14239745966080 peak_steps=595 suspects=0 gpu=69% temp=70C elapsed=34.2
batch=431001 checked=14240584826880 peak_steps=595 suspects=0 gpu=72% temp=70C elapsed=34.5
batch=431051 checked=14241423687680 peak_steps=595 suspects=0 gpu=73% temp=70C elapsed=34.9
